userId,War,Animation,Horror,Sci-Fi,Fantasy,Thriller,Crime,Mystery,Documentary,Children,Action,Adventure,Musical,Film-Noir,Drama,Romance,Comedy,Western,None
1,0.02564102564102564,0.02564102564102564,0.10256410256410256,0,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0641025641025641,0.0,0.0641025641025641,0.1794871794871795,0.14102564102564102,0.02564102564102564,0.0,0.05128205128205128,0,0,0.01282051282051282,0.0
2,0.0,0.0,0.045454545454545456,0,0.0,0.18181818181818182,0.18181818181818182,0.0,0.045454545454545456,0.0,0.18181818181818182,0.045454545454545456,0.0,0.0,0.2727272727272727,0,0,0.045454545454545456,0.0
3,0.10638297872340426,0.0851063829787234,0.0,0,0.0425531914893617,0.02127659574468085,0.0425531914893617,0.0,0.0,0.10638297872340426,0.10638297872340426,0.14893617021276595,0.02127659574468085,0.0,0.3191489361702128,0,0,0.0,0.0
4,0.015625,0.015625,0.0,0,0.046875,0.125,0.0703125,0.0703125,0.0078125,0.0234375,0.09375,0.078125,0.03125,0.0078125,0.390625,0,0,0.0234375,0.0
5,0.025,0.025,0.025,0,0.05,0.1,0.125,0.0,0.0,0.05,0.15,0.125,0.025,0.0,0.275,0,0,0.025,0.0
6,0.023529411764705882,0.0196078431372549,0.058823529411764705,0,0.054901960784313725,0.13725490196078433,0.08235294117647059,0.027450980392156862,0.0,0.09803921568627451,0.12549019607843137,0.06666666666666667,0.011764705882352941,0.00784313725490196,0.2627450980392157,0,0,0.023529411764705882,0.0
7,0.03389830508474576,0.03954802259887006,0.005649717514124294,0,0.06779661016949153,0.11864406779661017,0.07909604519774012,0.04519774011299435,0.0,0.04519774011299435,0.1864406779661017,0.14124293785310735,0.02824858757062147,0.011299435028248588,0.192090395480226,0,0,0.005649717514124294,0.0
8,0.05263157894736842,0.0,0.0,0,0.07894736842105263,0.15789473684210525,0.07894736842105263,0.02631578947368421,0.0,0.02631578947368421,0.21052631578947367,0.10526315789473684,0.0,0.0,0.23684210526315788,0,0,0.02631578947368421,0.0
9,0.02564102564102564,0.0,0.1282051282051282,0,0.0,0.20512820512820512,0.10256410256410256,0.02564102564102564,0.0,0.0,0.1282051282051282,0.10256410256410256,0.02564102564102564,0.0,0.2564102564102564,0,0,0.0,0.0
10,0.0234375,0.046875,0.015625,0,0.078125,0.0703125,0.0625,0.0234375,0.0,0.046875,0.109375,0.125,0.0390625,0.0,0.359375,0,0,0.0,0.0
11,0.03508771929824561,0.0,0.0,0,0.017543859649122806,0.22807017543859648,0.10526315789473684,0.0,0.0,0.0,0.3684210526315789,0.14035087719298245,0.0,0.0,0.08771929824561403,0,0,0.017543859649122806,0.0
12,0.0,0.08333333333333333,0.0,0,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.25,0,0,0.0,0.0
13,0.05263157894736842,0.0,0.0,0,0.05263157894736842,0.21052631578947367,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.42105263157894735,0,0,0.0,0.0
14,0.02631578947368421,0.0,0.0,0,0.02631578947368421,0.15789473684210525,0.13157894736842105,0.0,0.0,0.05263157894736842,0.15789473684210525,0.13157894736842105,0.0,0.0,0.3157894736842105,0,0,0.0,0.0
15,0.009302325581395349,0.09302325581395349,0.03255813953488372,0,0.06046511627906977,0.12558139534883722,0.046511627906976744,0.04186046511627907,0.0,0.09302325581395349,0.18604651162790697,0.16279069767441862,0.023255813953488372,0.0,0.12093023255813953,0,0,0.004651162790697674,0.0
16,0.043478260869565216,0.03260869565217391,0.03260869565217391,0,0.06521739130434782,0.13043478260869565,0.10869565217391304,0.07608695652173914,0.0,0.010869565217391304,0.15217391304347827,0.09782608695652174,0.0,0.010869565217391304,0.22826086956521738,0,0,0.010869565217391304,0.0
17,0.0,0.022727272727272728,0.0,0,0.06818181818181818,0.045454545454545456,0.11363636363636363,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.20454545454545456,0.1590909090909091,0.022727272727272728,0.022727272727272728,0.25,0,0,0.022727272727272728,0.0
18,0.010121457489878543,0.030364372469635626,0.016194331983805668,0,0.058704453441295545,0.1396761133603239,0.07894736842105263,0.032388663967611336,0.006072874493927126,0.04251012145748988,0.24493927125506074,0.16396761133603238,0.010121457489878543,0.004048582995951417,0.15789473684210525,0,0,0.004048582995951417,0.0
19,0.006986027944111776,0.033932135728542916,0.10678642714570859,0,0.07385229540918163,0.17764471057884232,0.05389221556886228,0.04291417165668663,0.0,0.08183632734530938,0.12275449101796407,0.1277445109780439,0.027944111776447105,0.005988023952095809,0.12674650698602793,0,0,0.010978043912175649,0.0
20,0.007380073800738007,0.05904059040590406,0.03690036900369004,0,0.07011070110701106,0.11439114391143912,0.06273062730627306,0.04059040590405904,0.0036900369003690036,0.14760147601476015,0.13653136531365315,0.15867158671586715,0.03690036900369004,0.0036900369003690036,0.11439114391143912,0,0,0.007380073800738007,0.0
21,0.008305647840531562,0.059800664451827246,0.024916943521594685,0,0.07308970099667775,0.11960132890365449,0.09966777408637874,0.016611295681063124,0.0,0.0664451827242525,0.23588039867109634,0.1461794019933555,0.016611295681063124,0.0016611295681063123,0.12790697674418605,0,0,0.0033222591362126247,0.0
